timestamp,spill_number,action_id,action_name,reward,state
2025-05-26T16:21:11.642635,8908900,3,Index,2,"[0.46000000834465027, 18.0, 414.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:12.145244,9108321,3,Index,2,"[0.38999998569488525, 11.0, 380.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:12.649387,45151,3,Index,2,"[0.20999999344348907, 12.0, 256.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:13.152130,7080415,3,Index,2,"[0.3799999952316284, 15.0, 419.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:13.654826,110047,3,Index,2,"[0.4099999964237213, 9.0, 347.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:14.158139,2309810,3,Index,2,"[0.4000000059604645, 9.0, 470.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:14.660903,500883,1,Deduplicate,1,"[0.3799999952316284, 17.0, 206.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:15.163891,7381129,3,Index,2,"[0.2199999988079071, 8.0, 278.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:15.666262,9905530,3,Index,2,"[0.1899999976158142, 16.0, 304.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:16.169490,7380123,3,Index,2,"[0.3799999952316284, 18.0, 232.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:16.672037,7380124,3,Index,2,"[0.33000001311302185, 12.0, 373.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:17.174921,7380129,3,Index,2,"[0.38999998569488525, 9.0, 385.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:17.677799,7380204,3,Index,2,"[0.4399999976158142, 19.0, 383.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:18.180700,7390211,1,Deduplicate,1,"[0.33000001311302185, 9.0, 162.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:18.684109,7380211,1,Deduplicate,1,"[0.25, 15.0, 189.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:19.187607,7380214,1,Deduplicate,1,"[0.15000000596046448, 12.0, 195.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:19.690102,7380219,3,Index,2,"[0.44999998807907104, 9.0, 450.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:20.193002,7380218,3,Index,2,"[0.10999999940395355, 15.0, 243.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:20.696313,7380221,1,Deduplicate,1,"[0.4399999976158142, 11.0, 169.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:21.199187,7380222,3,Index,2,"[0.46000000834465027, 13.0, 216.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:21.702327,7380304,3,Index,2,"[0.4300000071525574, 13.0, 225.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:22.205329,7380306,3,Index,2,"[0.3199999928474426, 18.0, 250.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:22.708327,7380305,3,Index,2,"[0.14000000059604645, 17.0, 243.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:23.210828,7380311,1,Deduplicate,1,"[0.2199999988079071, 13.0, 172.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:23.713830,7380312,3,Index,2,"[0.44999998807907104, 9.0, 288.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:24.217327,7380317,3,Index,2,"[0.38999998569488525, 8.0, 356.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:24.719828,7380318,3,Index,2,"[0.3400000035762787, 6.0, 317.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:25.222827,7380319,3,Index,2,"[0.23999999463558197, 17.0, 292.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:25.725827,7380302,3,Index,2,"[0.2199999988079071, 15.0, 397.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:26.228827,7480401,3,Index,2,"[0.20000000298023224, 9.0, 267.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:26.731828,7840432,3,Index,2,"[0.4099999964237213, 5.0, 402.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:27.234365,7480433,3,Index,2,"[0.11999999731779099, 16.0, 423.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:27.737867,7480436,1,Deduplicate,1,"[0.5, 18.0, 159.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:28.240332,7480408,3,Index,2,"[0.3799999952316284, 17.0, 397.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:28.743734,7480404,3,Index,2,"[0.23999999463558197, 12.0, 202.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:29.246838,7480406,1,Deduplicate,1,"[0.4699999988079071, 11.0, 175.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:29.749809,7480419,3,Index,2,"[0.3100000023841858, 12.0, 222.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
